# HOMER Peaks
# Peak finding parameters:
# tag directory = /home/j8hwang/lab5/tagdirs/Oct4
#
# total peaks = 2203
# peak size = 75
# peaks found using tags on both strands
# minimum distance between peaks = 150
# fragment length = 74
# genome size = 2000000000
# Total tags = 1733716.0
# Total tags in peaks = 45928.0
# Approximate IP efficiency = 2.65%
# tags per bp = 0.000795
# expected tags per peak = 0.060
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Peaks have been centered at maximum tag pile-up
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 5.024429e-07
# FDR tag threshold = 4.0
# number of putative peaks = 95516
#
# input tag directory = /home/j8hwang/lab5/tagdirs/input
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 90247
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 3065
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = findPeaks /home/j8hwang/lab5/tagdirs/Oct4 -i /home/j8hwang/lab5/tagdirs/input -style factor -o auto
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Total Tags (normalized to Control Experiment)	Control Tags	Fold Change vs Control	p-value vs Control	Fold Change vs Local	p-value vs Local	Clonal Fold Change
17-596	17	53456189	53456263	+	121.1	0.580	19.000000	20.8	1.0	20.85	1.59e-19	8.35	1.64e-12	0.89
17-538	17	53973803	53973877	+	121.1	0.675	20.000000	20.8	2.0	10.42	6.44e-14	16.64	7.78e-19	0.89
17-787	17	56143933	56144007	+	121.1	0.763	17.000000	22.8	3.0	7.61	1.60e-12	5.78	3.64e-10	1.06
17-539	17	56289698	56289772	+	121.1	0.791	20.000000	21.8	5.0	4.37	8.11e-08	5.04	3.83e-09	0.89
17-602	17	57576415	57576489	+	121.1	0.676	19.000000	20.8	1.0	20.85	1.59e-19	15.04	3.48e-17	0.95
17-604	17	62692446	62692520	+	121.1	0.788	19.000000	20.8	3.0	6.95	8.31e-11	10.41	7.22e-15	0.94
17-794	17	64534455	64534529	+	121.1	0.738	17.000000	20.8	2.0	10.42	6.44e-14	8.52	3.13e-13	0.99
17-542	17	65702302	65702376	+	121.1	0.634	20.000000	20.8	2.0	10.42	6.44e-14	7.76	1.78e-12	0.89
17-606	17	66451358	66451432	+	121.1	0.794	19.000000	20.8	5.0	4.17	3.45e-07	5.65	5.41e-10	0.94
17-610	17	67692214	67692288	+	121.1	0.667	19.000000	20.8	3.0	6.95	8.31e-11	6.95	1.35e-11	0.89
17-615	17	71599505	71599579	+	121.1	0.714	19.000000	20.8	1.0	20.85	1.59e-19	5.73	4.21e-10	0.94
17-550	17	74328299	74328373	+	121.1	0.750	20.000000	20.8	1.0	20.85	1.59e-19	11.73	7.33e-16	0.84
17-618	17	74924151	74924225	+	121.1	0.617	19.000000	20.8	0.5	41.70	2.38e-25	8.71	2.09e-13	0.94
17-700	17	78480035	78480109	+	121.1	0.617	18.000000	20.8	1.0	20.85	1.59e-19	16.44	9.85e-19	1.06
17-552	17	80124242	80124316	+	121.1	0.535	20.000000	20.8	2.0	10.42	6.44e-14	8.77	1.85e-13	0.94
17-624	17	80442025	80442099	+	121.1	0.718	19.000000	20.8	5.0	4.17	3.45e-07	9.25	2.61e-13	0.89
17-811	17	81079988	81080062	+	121.1	0.659	17.000000	21.8	2.0	10.92	6.11e-15	13.17	7.70e-17	1.06
17-554	17	83666547	83666621	+	121.1	0.649	20.000000	20.8	5.0	4.17	3.45e-07	4.51	2.50e-08	0.89
17-486	17	83742928	83743002	+	121.1	0.708	21.000000	20.8	3.0	6.95	8.31e-11	5.38	1.28e-09	0.84
17-555	17	84596734	84596808	+	121.1	0.707	20.000000	20.8	2.0	10.42	6.44e-14	7.61	2.54e-12	0.89
17-448	17	85874241	85874315	+	121.1	0.561	22.000000	22.8	2.0	11.42	5.53e-16	12.69	1.59e-16	0.84
17-711	17	86880334	86880408	+	121.1	0.767	18.000000	20.8	1.0	20.85	1.59e-19	11.68	7.95e-16	0.94
17-993	17	90843337	90843411	+	121.1	0.585	16.000000	20.8	2.0	10.42	6.44e-14	8.30	5.20e-13	1.06
17-632	17	93324373	93324447	+	121.1	0.750	19.000000	20.8	3.0	6.95	8.31e-11	11.07	2.21e-15	0.89
17-824	17	93905797	93905871	+	121.1	0.556	17.000000	20.8	2.0	10.42	6.44e-14	10.90	3.00e-15	1.06
17-723	17	6861811	6861885	+	115.4	0.545	17.000000	19.9	2.0	9.93	6.48e-13	4.43	7.17e-08	0.95
17-828	17	7421035	7421109	+	115.4	0.645	16.000000	19.9	0.5	39.71	9.51e-24	35.29	2.73e-24	1.01
17-499	17	10432260	10432334	+	115.4	0.632	20.000000	19.9	3.0	6.62	5.59e-10	4.68	2.92e-08	0.85
17-563	17	12195282	12195356	+	115.4	0.686	19.000000	19.9	0.5	39.71	9.51e-24	7.10	2.84e-11	0.89
17-564	17	13092300	13092374	+	115.4	0.513	19.000000	19.9	3.0	6.62	5.59e-10	54.01	6.66e-28	0.85
17-639	17	16374285	16374359	+	115.4	0.893	18.000000	19.9	4.0	4.96	5.16e-08	10.34	3.52e-14	0.95
17-640	17	17414316	17414390	+	115.4	0.650	18.000000	19.9	4.0	4.96	5.16e-08	10.80	1.58e-14	0.89
17-566	17	21801549	21801623	+	115.4	0.889	19.000000	19.9	3.0	6.62	5.59e-10	38.36	5.38e-25	0.95
17-511	17	26596348	26596422	+	115.4	0.694	20.000000	19.9	2.0	9.93	6.48e-13	5.43	2.60e-09	0.85
17-648	17	26917148	26917222	+	115.4	0.657	18.000000	19.9	1.0	19.86	3.18e-18	8.68	8.24e-13	0.95
17-656	17	29032431	29032505	+	115.4	0.806	18.000000	19.9	3.0	6.62	5.59e-10	5.46	2.43e-09	0.89
17-660	17	29552769	29552843	+	115.4	0.929	18.000000	19.9	3.0	6.62	5.59e-10	7.94	4.59e-11	0.91
17-661	17	29645888	29645962	+	115.4	0.862	18.000000	20.8	0.5	41.70	2.38e-25	8.57	1.04e-12	0.95
17-665	17	31264305	31264379	+	115.4	0.710	18.000000	19.9	2.0	9.93	6.48e-13	5.28	1.00e-08	0.90
17-580	17	32281272	32281346	+	115.4	0.697	19.000000	19.9	4.0	4.96	5.16e-08	6.32	2.09e-10	0.89
17-666	17	32635182	32635256	+	115.4	0.706	18.000000	19.9	4.0	4.96	5.16e-08	11.36	6.32e-15	0.89
17-760	17	35052574	35052648	+	115.4	0.875	17.000000	19.9	4.0	4.96	5.16e-08	6.86	5.13e-11	0.95
17-585	17	36154621	36154695	+	115.4	0.694	19.000000	19.9	1.0	19.86	3.18e-18	11.03	1.09e-14	0.89
17-769	17	36951758	36951832	+	115.4	0.864	17.000000	21.8	4.0	5.46	1.92e-09	6.57	1.08e-10	1.01
17-471	17	37023126	37023200	+	115.4	0.767	21.000000	19.9	0.5	39.71	9.51e-24	4.88	1.50e-08	0.89
17-678	17	43631412	43631486	+	115.4	0.821	18.000000	19.9	2.0	9.93	6.48e-13	9.95	7.06e-14	0.89
17-912	17	45866792	45866866	+	115.4	0.591	16.000000	19.9	3.0	6.62	5.59e-10	6.94	3.77e-10	0.97
17-914	17	46573188	46573262	+	115.4	0.656	16.000000	19.9	1.0	19.86	3.18e-18	9.62	1.29e-13	1.01
17-776	17	46650733	46650807	+	115.4	0.781	17.000000	19.9	3.0	6.62	5.59e-10	6.14	3.37e-10	0.95
17-1128	17	46788130	46788204	+	115.4	0.741	15.000000	19.9	2.0	9.93	6.48e-13	6.06	4.26e-10	1.07
17-532	17	48101051	48101125	+	115.4	0.824	20.000000	19.9	4.0	4.96	5.16e-08	4.95	1.21e-08	0.85
17-930	17	50415887	50415961	+	115.4	0.806	16.000000	19.9	1.0	19.86	3.18e-18	10.89	1.36e-14	1.01
17-1143	17	50783875	50783949	+	115.4	0.862	15.000000	19.9	2.0	9.93	6.48e-13	8.32	1.73e-12	1.15
17-597	17	56140430	56140504	+	115.4	0.824	19.000000	19.9	1.0	19.86	3.18e-18	5.84	7.80e-10	0.95
17-600	17	56656939	56657013	+	115.4	0.605	19.000000	19.9	1.0	19.86	3.18e-18	9.32	2.30e-13	0.85
17-790	17	57769159	57769233	+	115.4	0.788	17.000000	19.9	2.0	9.93	6.48e-13	14.18	3.45e-15	0.91
17-691	17	60119212	60119286	+	115.4	0.667	18.000000	19.9	1.0	19.86	3.18e-18	22.24	2.00e-20	0.89
17-605	17	64136019	64136093	+	115.4	0.719	19.000000	19.9	1.0	19.86	3.18e-18	9.84	8.64e-14	0.85
17-694	17	66375089	66375163	+	115.4	0.605	18.000000	19.9	3.0	6.62	5.59e-10	6.98	1.13e-10	0.90
17-959	17	67981609	67981683	+	115.4	0.750	16.000000	19.9	1.0	19.86	3.18e-18	11.82	3.07e-15	1.01
17-545	17	70872292	70872366	+	115.4	0.622	20.000000	19.9	4.0	4.96	5.16e-08	4.76	2.25e-08	0.80
17-616	17	73518700	73518774	+	115.4	0.611	19.000000	20.8	4.0	5.21	1.02e-08	13.04	4.98e-16	0.89
17-620	17	75147602	75147676	+	115.4	0.688	19.000000	19.9	4.0	4.96	5.16e-08	13.10	4.54e-16	0.89
17-1176	17	76083647	76083721	+	115.4	0.634	15.000000	19.9	4.0	4.96	5.16e-08	13.78	1.77e-16	1.15
17-976	17	83136428	83136502	+	115.4	0.774	16.000000	19.9	0.5	39.71	9.51e-24	12.43	1.21e-15	1.01
17-813	17	83834067	83834141	+	115.4	0.759	17.000000	19.9	4.0	4.96	5.16e-08	9.22	2.78e-13	0.95
17-985	17	85257023	85257097	+	115.4	0.458	16.000000	19.9	3.0	6.62	5.59e-10	8.57	1.04e-12	1.07
17-629	17	86662548	86662622	+	115.4	0.684	19.000000	19.9	3.0	6.62	5.59e-10	9.73	1.06e-13	0.89
17-714	17	88706455	88706529	+	115.4	0.719	18.000000	19.9	3.0	6.62	5.59e-10	9.10	3.56e-13	0.95
17-1474	17	3379656	3379730	+	109.6	0.828	13.000000	18.9	2.0	9.43	6.19e-12	13.03	2.68e-15	1.18
17-497	17	7232506	7232580	+	109.6	0.583	20.000000	18.9	1.0	18.86	6.06e-17	10.39	1.39e-13	0.85
17-728	17	11335683	11335757	+	109.6	0.667	17.000000	18.9	2.0	9.43	6.19e-12	14.53	3.87e-16	0.96
17-638	17	13004617	13004691	+	109.6	0.724	18.000000	18.9	3.0	6.29	3.57e-09	4.68	6.42e-08	0.90
17-504	17	17955321	17955395	+	109.6	0.826	20.000000	18.9	2.0	9.43	6.19e-12	19.49	1.91e-18	0.81
17-839	17	22746051	22746125	+	109.6	0.875	16.000000	18.9	1.0	18.86	6.06e-17	9.21	1.10e-12	0.96
17-567	17	23564186	23564260	+	109.6	0.697	19.000000	18.9	4.0	4.72	2.48e-07	7.57	2.97e-11	0.81
17-740	17	23727675	23727749	+	109.6	0.590	17.000000	18.9	1.0	18.86	6.06e-17	6.81	1.70e-10	0.90
17-848	17	24774264	24774338	+	109.6	0.636	16.000000	18.9	3.0	6.29	3.57e-09	8.52	4.10e-12	1.02
17-574	17	26596887	26596961	+	109.6	0.765	19.000000	18.9	2.0	9.43	6.19e-12	4.64	1.58e-07	0.81
17-745	17	27228756	27228830	+	109.6	0.625	17.000000	18.9	3.0	6.29	3.57e-09	7.61	8.98e-11	0.97
17-870	17	29483963	29484037	+	109.6	0.714	16.000000	18.9	2.0	9.43	6.19e-12	6.79	5.39e-10	1.04
17-872	17	29762738	29762812	+	109.6	0.848	16.000000	18.9	1.0	18.86	6.06e-17	7.86	1.61e-11	0.96
17-1055	17	30045439	30045513	+	109.6	0.733	15.000000	18.9	4.0	4.72	2.48e-07	12.45	5.97e-15	1.02
17-753	17	31307937	31308011	+	109.6	0.733	17.000000	18.9	3.0	6.29	3.57e-09	5.44	6.27e-09	0.96
17-878	17	31478852	31478926	+	109.6	0.643	16.000000	18.9	0.5	37.73	3.61e-22	8.67	3.07e-12	0.96
17-755	17	31806307	31806381	+	109.6	0.711	17.000000	18.9	1.0	18.86	6.06e-17	4.14	4.11e-07	1.02
17-1064	17	32166095	32166169	+	109.6	0.667	15.000000	18.9	4.0	4.72	2.48e-07	5.75	2.60e-09	1.09
17-885	17	33909482	33909556	+	109.6	0.800	16.000000	19.9	3.0	6.62	5.59e-10	4.96	2.67e-08	1.09
17-671	17	35059728	35059802	+	109.6	0.575	18.000000	18.9	3.0	6.29	3.57e-09	5.85	5.21e-09	0.85
17-583	17	35879710	35879784	+	109.6	0.659	19.000000	18.9	4.0	4.72	2.48e-07	8.70	2.90e-12	0.85
17-898	17	36891972	36892046	+	109.6	0.611	16.000000	18.9	4.0	4.72	2.48e-07	7.55	3.12e-11	0.96
17-677	17	39067755	39067829	+	109.6	0.649	18.000000	18.9	1.0	18.86	6.06e-17	10.02	2.61e-13	0.96
17-588	17	40264602	40264676	+	109.6	0.957	19.000000	18.9	2.0	9.43	6.19e-12	14.45	4.29e-16	0.85
17-772	17	42901113	42901187	+	109.6	0.686	17.000000	19.9	1.0	19.86	3.18e-18	8.73	2.73e-12	1.02
17-680	17	46105606	46105680	+	109.6	0.960	18.000000	18.9	2.0	9.43	6.19e-12	9.71	4.47e-13	0.96
17-775	17	46630195	46630269	+	109.6	0.639	17.000000	18.9	2.0	9.43	6.19e-12	6.17	2.33e-09	0.91
17-1139	17	48490883	48490957	+	109.6	0.568	15.000000	18.9	3.0	6.29	3.57e-09	9.04	1.50e-12	1.09
17-782	17	48680565	48680639	+	109.6	0.588	17.000000	18.9	2.0	9.43	6.19e-12	11.28	3.37e-14	0.90
17-1140	17	48815388	48815462	+	109.6	0.632	15.000000	19.9	0.5	39.71	9.51e-24	7.33	1.62e-10	1.04
17-1150	17	56717862	56717936	+	109.6	0.667	15.000000	18.9	4.0	4.72	2.48e-07	6.22	7.41e-10	1.02
17-689	17	56763490	56763564	+	109.6	0.658	18.000000	18.9	3.0	6.29	3.57e-09	4.94	2.83e-08	0.90
17-944	17	56831320	56831394	+	109.6	0.688	16.000000	18.9	3.0	6.29	3.57e-09	4.22	3.06e-07	1.02
17-792	17	62248105	62248179	+	109.6	0.553	17.000000	19.9	2.0	9.93	6.48e-13	12.51	5.48e-15	0.96
17-541	17	62940109	62940183	+	109.6	0.727	20.000000	19.9	1.0	19.86	3.18e-18	10.88	6.21e-14	0.85
17-952	17	65725528	65725602	+	109.6	0.706	16.000000	18.9	4.0	4.72	2.48e-07	5.27	1.04e-08	1.02
17-1160	17	66315471	66315545	+	109.6	0.568	15.000000	18.9	2.0	9.43	6.19e-12	8.16	2.99e-11	1.04
17-797	17	66331372	66331446	+	109.6	0.591	17.000000	19.9	3.0	6.62	5.59e-10	7.78	1.88e-11	0.96
17-1792	17	66456212	66456286	+	109.6	0.514	13.000000	18.9	4.0	4.72	2.48e-07	4.67	6.60e-08	1.28
17-960	17	68210950	68211024	+	109.6	0.636	16.000000	18.9	4.0	4.72	2.48e-07	14.45	4.29e-16	0.96
17-961	17	69277670	69277744	+	109.6	0.625	16.000000	18.9	3.0	6.29	3.57e-09	4.54	2.21e-07	1.04
17-696	17	69279795	69279869	+	109.6	0.750	18.000000	18.9	1.0	18.86	6.06e-17	4.89	3.29e-08	0.85
17-966	17	72854365	72854439	+	109.6	0.743	16.000000	18.9	4.0	4.72	2.48e-07	8.92	1.91e-12	1.02
17-619	17	75110504	75110578	+	109.6	0.643	19.000000	19.9	0.5	39.71	9.51e-24	8.73	2.73e-12	0.85
17-969	17	78508213	78508287	+	109.6	0.862	16.000000	18.9	3.0	6.29	3.57e-09	11.48	2.46e-14	0.96
17-1830	17	80801529	80801603	+	109.6	0.611	13.000000	18.9	4.0	4.72	2.48e-07	6.27	6.57e-10	1.28
17-975	17	82437321	82437395	+	109.6	0.737	16.000000	18.9	2.0	9.43	6.19e-12	10.10	2.27e-13	1.02
17-1456	17	85349132	85349206	+	109.6	0.730	14.000000	18.9	2.0	9.43	6.19e-12	8.70	2.90e-12	1.18
17-817	17	86162052	86162126	+	109.6	0.733	17.000000	18.9	4.0	4.72	2.48e-07	6.37	4.01e-09	0.85
17-988	17	87321866	87321940	+	109.6	0.767	16.000000	18.9	2.0	9.43	6.19e-12	10.18	1.98e-13	0.96
17-822	17	88160174	88160248	+	109.6	0.512	17.000000	18.9	2.0	9.43	6.19e-12	6.78	1.86e-10	0.96
17-716	17	3551335	3551409	+	103.8	0.719	17.000000	17.9	1.0	17.87	1.09e-15	9.64	2.02e-12	0.91
17-726	17	9216715	9216789	+	103.8	0.692	17.000000	19.9	2.0	9.93	6.48e-13	11.68	8.79e-14	0.97
17-1006	17	10500830	10500904	+	103.8	0.562	15.000000	17.9	2.0	8.94	5.61e-11	7.11	2.61e-10	0.97
17-733	17	15549817	15549891	+	103.8	0.606	17.000000	17.9	3.0	5.96	2.16e-08	12.67	2.27e-14	0.85
17-565	17	19545702	19545776	+	103.8	0.690	19.000000	18.9	1.0	18.86	6.06e-17	22.47	1.29e-18	0.85
17-641	17	20306665	20306739	+	103.8	0.636	18.000000	17.9	2.0	8.94	5.61e-11	16.32	3.23e-16	0.97
17-838	17	22315045	22315119	+	103.8	0.900	16.000000	17.9	2.0	8.94	5.61e-11	24.06	3.98e-19	0.91
17-1256	17	23679584	23679658	+	103.8	0.588	14.000000	17.9	2.0	8.94	5.61e-11	4.61	1.77e-07	1.04
17-1262	17	24173579	24173653	+	103.8	0.710	14.000000	17.9	2.0	8.94	5.61e-11	6.32	1.62e-09	1.12
17-1026	17	24669456	24669530	+	103.8	0.636	15.000000	17.9	2.0	8.94	5.61e-11	5.63	9.30e-09	1.12
17-643	17	24773438	24773512	+	103.8	0.767	18.000000	17.9	1.0	17.87	1.09e-15	7.86	5.38e-11	0.91
17-1270	17	25879362	25879436	+	103.8	0.667	14.000000	17.9	4.0	4.47	1.13e-06	5.25	2.67e-08	1.04
17-1274	17	26232996	26233070	+	103.8	0.826	14.000000	17.9	3.0	5.96	2.16e-08	8.76	9.61e-12	1.04
17-852	17	26494988	26495062	+	103.8	0.625	16.000000	17.9	3.0	5.96	2.16e-08	8.05	3.71e-11	0.97
17-647	17	26502954	26503028	+	103.8	0.541	18.000000	17.9	2.0	8.94	5.61e-11	5.16	8.08e-08	0.85
17-853	17	26916760	26916834	+	103.8	0.630	16.000000	17.9	3.0	5.96	2.16e-08	6.94	3.49e-09	0.86
17-855	17	27565431	27565505	+	103.8	0.686	16.000000	18.9	3.0	6.29	3.57e-09	5.64	8.98e-09	0.97
17-749	17	28177304	28177378	+	103.8	0.556	17.000000	17.9	2.0	8.94	5.61e-11	5.89	1.25e-08	0.85
17-657	17	29095594	29095668	+	103.8	0.636	18.000000	17.9	4.0	4.47	1.13e-06	5.50	1.32e-08	0.81
17-662	17	29789923	29789997	+	103.8	0.579	18.000000	17.9	2.0	8.94	5.61e-11	8.45	1.71e-11	0.91
17-2062	17	30327471	30327545	+	103.8	0.618	12.000000	17.9	1.0	17.87	1.09e-15	13.23	1.10e-14	1.21
17-752	17	30583804	30583878	+	103.8	0.778	17.000000	17.9	3.0	5.96	2.16e-08	8.49	5.71e-11	0.85
17-1310	17	30820639	30820713	+	103.8	0.800	14.000000	17.9	1.0	17.87	1.09e-15	7.56	9.93e-11	1.12
17-1312	17	30978726	30978800	+	103.8	0.750	14.000000	17.9	4.0	4.47	1.13e-06	13.23	1.10e-14	1.04
17-879	17	31564306	31564380	+	103.8	0.750	16.000000	17.9	3.0	5.96	2.16e-08	6.35	1.50e-09	0.97
17-1061	17	31693433	31693507	+	103.8	0.733	15.000000	17.9	3.0	5.96	2.16e-08	8.45	1.71e-11	0.97
17-883	17	32951610	32951684	+	103.8	0.613	16.000000	17.9	2.0	8.94	5.61e-11	7.68	7.72e-11	0.91
17-759	17	34981717	34981791	+	103.8	0.645	17.000000	17.9	4.0	4.47	1.13e-06	4.86	8.17e-08	0.85
17-889	17	35135499	35135573	+	103.8	0.645	16.000000	18.9	3.0	6.29	3.57e-09	5.74	6.98e-09	0.97
17-762	17	35420672	35420746	+	103.8	0.600	17.000000	17.9	4.0	4.47	1.13e-06	8.60	1.29e-11	1.04
17-764	17	35698079	35698153	+	103.8	0.759	17.000000	17.9	4.0	4.47	1.13e-06	4.49	5.43e-07	0.85
17-1088	17	35829916	35829990	+	103.8	0.767	15.000000	17.9	0.5	35.74	1.30e-20	5.81	5.82e-09	0.97
17-1344	17	36149016	36149090	+	103.8	0.692	14.000000	17.9	2.0	8.94	5.61e-11	7.76	6.62e-11	1.04
17-903	17	37072534	37072608	+	103.8	0.688	16.000000	17.9	1.0	17.87	1.09e-15	5.05	4.73e-08	0.91
17-770	17	40900045	40900119	+	103.8	0.526	17.000000	17.9	4.0	4.47	1.13e-06	6.13	7.04e-09	0.91
17-771	17	41071042	41071116	+	103.8	0.541	17.000000	17.9	4.0	4.47	1.13e-06	11.29	1.54e-13	0.85
17-1351	17	44977868	44977942	+	103.8	0.692	14.000000	17.9	1.0	17.87	1.09e-15	15.99	4.55e-16	1.04
17-1113	17	45563876	45563950	+	103.8	0.784	15.000000	17.9	4.0	4.47	1.13e-06	4.47	2.74e-07	1.04
17-911	17	45697907	45697981	+	103.8	0.625	16.000000	17.9	2.0	8.94	5.61e-11	6.83	4.94e-10	0.97
17-682	17	46871485	46871559	+	103.8	0.893	18.000000	17.9	2.0	8.94	5.61e-11	5.27	6.04e-08	0.85
17-1132	17	47140066	47140140	+	103.8	0.759	15.000000	17.9	4.0	4.47	1.13e-06	4.69	1.38e-07	0.97
17-778	17	47141140	47141214	+	103.8	0.590	17.000000	17.9	4.0	4.47	1.13e-06	4.49	2.53e-07	0.91
17-1732	17	47141456	47141530	+	103.8	0.704	13.000000	17.9	3.0	5.96	2.16e-08	4.43	3.13e-07	1.21
17-683	17	47368870	47368944	+	103.8	0.667	18.000000	17.9	2.0	8.94	5.61e-11	6.81	5.16e-10	0.91
17-1138	17	48378239	48378313	+	103.8	0.667	15.000000	17.9	0.5	35.74	1.30e-20	11.18	1.79e-13	0.97
17-935	17	54658466	54658540	+	103.8	0.844	16.000000	17.9	1.0	17.87	1.09e-15	13.02	1.44e-14	0.91
17-788	17	56298466	56298540	+	103.8	0.979	17.000000	17.9	0.5	35.74	1.30e-20	5.74	6.98e-09	0.91
17-946	17	57032245	57032319	+	103.8	0.710	16.000000	17.9	3.0	5.96	2.16e-08	6.28	4.92e-09	0.91
17-1156	17	62171684	62171758	+	103.8	0.710	15.000000	17.9	1.0	17.87	1.09e-15	15.62	4.24e-15	0.98
17-793	17	62784047	62784121	+	103.8	0.647	17.000000	17.9	2.0	8.94	5.61e-11	9.57	2.31e-12	0.97
17-955	17	66392082	66392156	+	103.8	0.800	16.000000	17.9	1.0	17.87	1.09e-15	7.54	1.04e-10	0.97
17-1161	17	66454765	66454839	+	103.8	0.758	15.000000	17.9	1.0	17.87	1.09e-15	4.02	1.19e-06	0.97
17-962	17	70664761	70664835	+	103.8	0.929	16.000000	17.9	2.0	8.94	5.61e-11	11.34	1.42e-13	0.91
17-701	17	80017577	80017651	+	103.8	0.800	18.000000	17.9	3.0	5.96	2.16e-08	8.24	2.54e-11	0.85
17-704	17	80714963	80715037	+	103.8	0.444	18.000000	17.9	2.0	8.94	5.61e-11	5.45	1.51e-08	0.81
17-981	17	84028681	84028755	+	103.8	0.622	16.000000	17.9	2.0	8.94	5.61e-11	4.57	1.98e-07	0.91
17-1194	17	84335394	84335468	+	103.8	0.639	15.000000	18.9	1.0	18.86	6.06e-17	7.63	8.54e-11	1.04
17-815	17	84722354	84722428	+	103.8	0.545	17.000000	17.9	1.0	17.87	1.09e-15	5.83	1.45e-08	0.91
17-1197	17	85158766	85158840	+	103.8	0.657	15.000000	17.9	1.0	17.87	1.09e-15	4.86	8.17e-08	1.04
17-818	17	87366892	87366966	+	103.8	0.808	17.000000	17.9	0.5	35.74	1.30e-20	7.33	1.62e-10	0.91
17-989	17	87495167	87495241	+	103.8	0.595	16.000000	17.9	4.0	4.47	1.13e-06	7.51	1.10e-10	0.91
17-819	17	87530538	87530612	+	103.8	0.657	17.000000	17.9	2.0	8.94	5.61e-11	5.20	7.34e-08	0.85
17-821	17	88141652	88141726	+	103.8	0.553	17.000000	17.9	3.0	5.96	2.16e-08	9.23	4.10e-12	0.85
17-992	17	88159622	88159696	+	103.8	0.595	16.000000	17.9	1.0	17.87	1.09e-15	6.46	1.17e-09	0.97
17-994	17	92705162	92705236	+	103.8	0.731	16.000000	17.9	2.0	8.94	5.61e-11	17.71	5.35e-16	0.91
17-1219	17	3616476	3616550	+	98.1	0.680	14.000000	16.9	4.0	4.22	4.89e-06	11.36	6.48e-13	0.98
17-999	17	5397603	5397677	+	98.1	0.767	15.000000	16.9	4.0	4.22	4.89e-06	7.68	2.58e-10	0.98
17-2470	17	5903896	5903970	+	98.1	0.815	11.000000	16.9	0.5	33.76	4.42e-19	8.36	7.16e-11	1.24
17-724	17	7247270	7247344	+	98.1	0.640	17.000000	16.9	3.0	5.63	1.24e-07	8.86	1.12e-10	0.80
17-1490	17	8376198	8376272	+	98.1	0.655	13.000000	16.9	1.0	16.88	1.87e-14	9.03	2.22e-11	1.05
17-725	17	9036037	9036111	+	98.1	0.710	17.000000	16.9	3.0	5.63	1.24e-07	11.38	2.96e-12	0.80
17-727	17	9631242	9631316	+	98.1	0.841	17.000000	17.9	1.0	17.87	1.09e-15	10.18	3.56e-12	0.85
17-636	17	9636581	9636655	+	98.1	0.711	18.000000	16.9	1.0	16.88	1.87e-14	10.87	1.29e-12	0.91
17-1004	17	9907402	9907476	+	98.1	0.576	15.000000	16.9	1.0	16.88	1.87e-14	8.24	8.95e-11	0.98
17-829	17	10531216	10531290	+	98.1	0.742	16.000000	16.9	3.0	5.63	1.24e-07	9.26	1.53e-11	0.91
17-729	17	11353733	11353807	+	98.1	0.639	17.000000	16.9	2.0	8.44	4.80e-10	4.42	6.72e-07	0.85
17-1497	17	12156842	12156916	+	98.1	0.643	13.000000	16.9	4.0	4.22	4.89e-06	5.88	3.36e-08	1.07
17-1237	17	14167203	14167277	+	98.1	0.815	14.000000	16.9	2.0	8.44	4.80e-10	5.29	5.66e-08	1.05
17-732	17	14904967	14905041	+	98.1	0.679	17.000000	16.9	3.0	5.63	1.24e-07	13.63	3.69e-14	0.85
17-735	17	15954114	15954188	+	98.1	0.811	17.000000	17.9	2.0	8.94	5.61e-11	10.04	4.39e-12	0.91
17-1244	17	16207407	16207481	+	98.1	0.667	14.000000	16.9	1.0	16.88	1.87e-14	10.66	1.74e-12	0.98
17-1020	17	23630303	23630377	+	98.1	0.676	15.000000	16.9	4.0	4.22	4.89e-06	6.76	1.71e-09	0.98
17-1533	17	23759148	23759222	+	98.1	0.630	13.000000	16.9	4.0	4.22	4.89e-06	6.62	2.32e-09	1.05
17-642	17	23978835	23978909	+	98.1	0.833	18.000000	16.9	2.0	8.44	4.80e-10	9.18	1.73e-11	0.85
17-1261	17	23993748	23993822	+	98.1	0.893	14.000000	16.9	3.0	5.63	1.24e-07	8.27	8.47e-11	1.05
17-1029	17	25222326	25222400	+	98.1	0.944	15.000000	16.9	4.0	4.22	4.89e-06	7.28	5.70e-10	0.91
17-1030	17	25273616	25273690	+	98.1	0.583	15.000000	16.9	3.0	5.63	1.24e-07	4.67	3.22e-07	0.91
17-1033	17	25567958	25568032	+	98.1	0.862	15.000000	16.9	4.0	4.22	4.89e-06	7.05	9.12e-10	0.98
17-1560	17	25886578	25886652	+	98.1	0.621	13.000000	16.9	3.0	5.63	1.24e-07	7.87	1.80e-10	1.14
17-1037	17	26110503	26110577	+	98.1	0.647	15.000000	16.9	2.0	8.44	4.80e-10	5.12	8.89e-08	0.91
